0.00,0.4999
0.01,0.5038
0.02,0.5078
0.03,0.5118
0.04,0.5158
0.05,0.5198
0.06,0.5238
0.07,0.5278
0.08,0.5317
0.09,0.5357
0.10,0.5397
0.11,0.5437
0.12,0.5476
0.13,0.5516
0.14,0.5555
0.15,0.5595
0.16,0.5634
0.17,0.5674
0.18,0.5713
0.19,0.5752
0.20,0.5791
0.21,0.5830
0.22,0.5869
0.23,0.5908
0.24,0.5947
0.25,0.5986
0.26,0.6024
0.27,0.6063
0.28,0.6101
0.29,0.6140
0.30,0.6178
0.31,0.6216
0.32,0.6254
0.33,0.6292
0.34,0.6329
0.35,0.6367
0.36,0.6404
0.37,0.6442
0.38,0.6479
0.39,0.6516
0.40,0.6553
0.41,0.6590
0.42,0.6626
0.43,0.6663
0.44,0.6699
0.45,0.6735
0.46,0.6771
0.47,0.6807
0.48,0.6843
0.49,0.6878
0.50,0.6913
0.51,0.6949
0.52,0.6983
0.53,0.7018
0.54,0.7053
0.55,0.7087
0.56,0.7121
0.57,0.7155
0.58,0.7189
0.59,0.7223
0.60,0.7256
0.61,0.7290
0.62,0.7323
0.63,0.7355
0.64,0.7388
0.65,0.7420
0.66,0.7453
0.67,0.7485
0.68,0.7516
0.69,0.7548
0.70,0.7579
0.71,0.7610
0.72,0.7641
0.73,0.7672
0.74,0.7702
0.75,0.7733
0.76,0.7763
0.77,0.7792
0.78,0.7822
0.79,0.7851
0.80,0.7880
0.81,0.7909
0.82,0.7938
0.83,0.7966
0.84,0.7994
0.85,0.8022
0.86,0.8050
0.87,0.8078
0.88,0.8105
0.89,0.8132
0.90,0.8158
0.91,0.8185
0.92,0.8211
0.93,0.8237
0.94,0.8263
0.95,0.8289
0.96,0.8314
0.97,0.8339
0.98,0.8364
0.99,0.8388
1.00,0.8413
1.01,0.8437
1.02,0.8461
1.03,0.8484
1.04,0.8507
1.05,0.8531
1.06,0.8553
1.07,0.8576
1.08,0.8599
1.09,0.8621
1.10,0.8643
1.11,0.8664
1.12,0.8686
1.13,0.8707
1.14,0.8728
1.15,0.8749
1.16,0.8769
1.17,0.8789
